COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Argentina,AR,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Australia,AU,July - December 2013,5,20%,6,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Austria,AT,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Belgium,BE,July - December 2013,2*,50%,2,/content/dam/transparency-twitter/flags/1x1/be.svg,/en/countries/be.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Brazil,BR,July - December 2013,20,30%,55,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Bulgaria,BG,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Canada,CA,July - December 2013,18,56%,19,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Colombia,CO,July - December 2013,4,0%,7,/content/dam/transparency-twitter/flags/1x1/co.svg,/en/countries/co.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Denmark,DK,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/dk.svg,/en/countries/dk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Ecuador,EC,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
France,FR,July - December 2013,57,23%,102,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Germany,DE,July - December 2013,3,33%,3,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Greece,GR,July - December 2013,9,11%,9,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Hong Kong,HK,July - December 2013,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/hk.svg,/en/countries/hk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
India,IN,July - December 2013,19,32%,27,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Indonesia,ID,July - December 2013,1,0%,1,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
Ireland,IE,July - December 2013,-,-,-,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2013
