COUNTRY,ISO CODE,TIME PERIOD,ACCOUNT INFORMATION REQUESTS,PERCENTAGE WHERE SOME INFORMATION PRODUCED,ACCOUNTS SPECIFIED,FLAGS,LINKS,REPORT LINKS
Albania,AL,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/al.svg,/en/countries/al.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Argentina,AR,July - December 2014,3,33%,4,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Australia,AU,July - December 2014,10*,50%,10,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Austria,AT,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/at.svg,/en/countries/at.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Bahrain,BH,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/bh.svg,/en/countries/bh.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Belgium,BE,July - December 2014,1*,0%,1,/content/dam/transparency-twitter/flags/1x1/be.svg,/en/countries/be.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Belize,BZ,July - December 2014,1,0%,1,/content/dam/transparency-twitter/flags/1x1/bz.svg,/en/countries/bz.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Brazil,BR,July - December 2014,50,14%,158,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Bulgaria,BG,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/bg.svg,/en/countries/bg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Canada,CA,July - December 2014,32,34%,37,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Chile,CL,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/cl.svg,/en/countries/cl.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Colombia,CO,July - December 2014,3,0%,4,/content/dam/transparency-twitter/flags/1x1/co.svg,/en/countries/co.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Denmark,DK,July - December 2014,3,33%,3,/content/dam/transparency-twitter/flags/1x1/dk.svg,/en/countries/dk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Ecuador,EC,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Egypt,EG,July - December 2014,1*,0%,2,/content/dam/transparency-twitter/flags/1x1/eg.svg,/en/countries/eg.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
El Salvador,SV,July - December 2014,1,0%,1,/content/dam/transparency-twitter/flags/1x1/sv.svg,/en/countries/sv.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
France,FR,July - December 2014,60,13%,81,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Germany,DE,July - December 2014,17,12%,18,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Greece,GR,July - December 2014,3*,0%,5,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Hong Kong,HK,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/hk.svg,/en/countries/hk.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
India,IN,July - December 2014,41,22%,"1,938",/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
Indonesia,ID,July - December 2014,-,-,-,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/content/transparency-twitter/en/information-requests.html#information-requests-jul-dec-2014
